# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Fri Feb 21 18:17:57 CET 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: SDSS <i>ugriz</i>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.00015547 -2.00000 10.00000 0.0936335474 1.1156111956    0.094 -3.051  3.5131  5.464    1  0.000  0.545     0.00     0.00 -1 -6.77e-17      0.00 7.480e-01 2.519e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 12.397 19.126 15.263 13.312 12.326 11.788
0.00015547 -2.00000 10.00000 0.0987750962 1.1607921124    0.099 -2.892  3.5353  5.417    1  0.000  0.545     0.00     0.00 -1    -1e-16      0.00 7.469e-01 2.529e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 12.001 17.866 14.495 12.695 11.903 11.445
0.00015547 -2.00000 10.00000 0.1035686582 1.2002434731    0.103 -2.752  3.5549  5.375    1  0.000  0.545     0.00     0.00 -1 -1.42e-16      0.00 7.459e-01 2.539e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.636e-04 11.650 16.820 13.828 12.187 11.524 11.132
0.00015547 -2.00000 10.00000 0.1234388798 1.3415665627    0.123 -2.477  3.5826  5.288    1  0.000  0.545     0.00     0.00 -1 -2.71e-16      0.00 7.432e-01 2.566e-01 2.943e-05 7.939e-06 7.201e-05 -1.000 1.637e-04 10.962 15.274 12.731 11.339 10.801 10.484
0.00015547 -2.00000 10.00000 0.1433091164 1.4560320377    0.143 -2.302  3.5961  5.232    1  0.000  0.545     0.00     0.00 -1 -4.02e-16      0.00 7.414e-01 2.584e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 10.524 14.474 12.118 10.845 10.351 10.062
0.00015547 -2.00000 10.00000 0.1631793380 1.5515257120    0.163 -2.165  3.6049  5.186    1  0.000  0.545     0.00     0.00 -1 -5.43e-16      0.00 7.403e-01 2.596e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 10.183 13.917 11.671 10.470 10.002 9.730
0.00015547 -2.00000 10.00000 0.2029198259 1.7036917210    0.203 -1.951  3.6167  5.114    1  0.000  0.545     0.00     0.00 -1 -8.67e-16      0.00 7.395e-01 2.604e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.637e-04 9.647 13.110 11.002 9.892 9.456 9.205
0.00015547 -2.00000 10.00000 0.2525954247 1.8468697071    0.252 -1.753  3.6273  5.054    1  0.000  0.545     0.00     0.00 -1 -1.31e-15      0.00 7.396e-01 2.603e-01 2.943e-05 7.940e-06 7.201e-05 -1.000 1.636e-04 9.152 12.386 10.393 9.359 8.951 8.719
0.00015547 -2.00000 10.00000 0.3022710085 1.9574397802    0.302 -1.600  3.6361  5.014    1  0.000  0.545     0.00     0.00 -1 -1.79e-15      0.00 7.397e-01 2.601e-01 2.942e-05 7.941e-06 7.201e-05 -1.000 1.637e-04 8.770 11.824 9.924 8.947 8.562 8.345
0.00015547 -2.00000 10.00000 0.3519465625 2.0465965271    0.352 -1.474  3.6442  4.987    1  0.000  0.544     0.00     0.00 -1 -2.29e-15      0.00 7.400e-01 2.598e-01 2.940e-05 7.942e-06 7.201e-05 -1.000 1.636e-04 8.455 11.351 9.533 8.606 8.241 8.037
