#id_star,coord1,coord2,ra,dec,star_distance,age,U,V,W,rV,pmra,pmdec,met,component,ebv,Z,log_age,M_ini,M_act,log_L,log_T,log_g,m_bol,mag_u,mag_g,mag_r,mag_i,mag_z,int_IMF,stage,mag_u_corr,mag_g_corr,mag_r_corr,mag_i_corr,mag_z_corr
3,113.80429881030841,-21.214919184284504,1.5019,40.8442,17788.7018,11.992,157.9584,-86.3634,6.8319,-135.5672,2.0873,0.4088,-1.9211,1,0.0739,1.96E-4,10.0792,0.7240215496672098,0.7234887158121521,-0.007875224328969088,3.7963473655868287,4.442600021540102,4.789684301221482,5.8748647620666405,5.1038497236628775,4.8276241476064286,4.75053391718385,4.749473763568797,3.035592992728002,1.0,21.891023896508315,21.302043734385848,21.11818349775663,21.089313949276576,20.983705387587822
5,113.77890345847611,-21.19479885794972,1.4662,40.8595,17736.4331,12.0781,135.2732,-91.1752,-1.8847,-127.9637,1.9024,0.2167,-1.9172,1,0.0739,1.96E-4,10.0828,0.5638597389882677,0.5637320067638899,-0.7652337109865803,3.71112389927519,4.750551822202014,6.683195680204287,8.478721487176559,7.301269170139155,6.7028202061447795,6.480571154263796,6.376718573566569,2.927934556010465,1.0,25.270509660794083,23.778312313878438,22.3752467400033,22.586733696925055,21.64579114134039
6,113.78943862911636,-21.095239714424576,1.4541,40.9591,18041.9662,11.9565,129.7884,-57.499,-17.4736,-91.6435,1.6662,0.1241,-1.8595,1,0.0739,1.96E-4,10.0792,0.6595847617725871,0.659260997621078,-0.34553801128821765,3.763902498717248,4.6104000046645535,5.633400027987316,6.887365036616739,6.039520031718959,5.636455027754089,5.50295002565504,5.4642250244889015,2.9984904437714417,1.0,22.138480613833277,22.457111761842768,22.051852011720005,21.55712506496115,21.576668834013105
7,113.69557889753008,-21.157854340305438,1.356,40.881,17948.4506,11.9837,159.8126,-92.4504,-7.5488,-136.1205,2.1493,0.2432,-1.9316,1,0.0739,1.96E-4,10.0792,0.7197734031265904,0.7192790084507771,-0.03341790818379853,3.794356287780773,4.457732212866126,4.853398791015266,5.94540580433833,5.173821886561408,4.889063119907577,4.808559613246046,4.805223942138357,3.033336629403861,1.0,22.02971449945183,21.433669088060313,21.160041228914388,21.066600658897674,21.235271044312245
8,113.80293617924667,-21.13300817254432,1.4799,40.9244,18659.6248,11.9449,131.9299,-87.4696,-2.7394,-123.3242,1.758,0.1956,-1.9138,1,0.0739,1.96E-4,10.0755,0.6758345005180453,0.675512730629123,-0.2710115113846618,3.772283881767589,4.579757762388236,5.447537166638414,6.648067428739914,5.830302297689164,5.453604272052485,5.33422170652711,5.303322364648217,3.008476938924517,1.0,23.531700072675804,22.106181834577235,21.768779663266436,21.838401329212207,21.647252110490975
9,113.91647392129323,-21.104569111782983,1.6106,40.9721,18421.1858,11.966,149.0432,-64.7951,-1.7073,-111.0138,1.8312,0.3325,-1.9153,1,0.0739,1.96E-4,10.0792,0.6890238464757321,0.6886494806648673,-0.20221792291172075,3.7794247403324337,4.5477866578581345,5.276018908478544,6.436739814011826,5.639775766042153,5.287744074899772,5.179469241321001,5.157090812539196,3.016273857512793,1.0,23.59710679769037,22.059821386212107,21.567875557001642,21.476059696428845,21.944144935699594
10,113.82312820820118,-21.22797617160052,1.528,40.8346,17571.6849,11.9659,162.3444,-86.8984,-0.1437,-135.1724,2.1768,0.3515,-1.906,1,0.0739,1.96E-4,10.0792,0.7536596226065713,0.752908349189929,0.20056880636964589,3.809094521190857,4.302479013967283,4.268758099607849,5.331199023863563,4.5446831830142775,4.31275809960785,4.257435326840707,4.271553478329278,3.050580382945519,1.0,21.447815946121963,20.726886260159972,20.55614475176912,20.50039138802319,20.500400474263337
12,113.73367673615128,-21.33259578361266,1.4459,40.7162,18078.2151,11.9756,137.8935,-55.6484,-17.7511,-92.6917,1.7361,0.1567,-1.8976,1,0.0739,1.96E-4,10.0792,0.7752758576603813,0.7742364239574335,0.4042668005445184,3.815097763032627,4.134838629872508,3.759082998638704,4.828006324794711,4.011082998638704,3.8015334768798446,3.758258716000415,3.778983955120985,3.060820955398559,1.0,21.145851908162427,20.315421420286523,20.104921097914357,20.0313183529187,20.130276311223177
13,113.92834692188201,-21.0829170733736,1.6197,40.9955,18518.9682,12.0363,167.8409,-71.5385,6.1146,-126.7307,2.0279,0.4602,-1.859,1,0.0739,1.96E-4,10.0792,0.6128748969265314,0.6126626251835188,-0.5579315363437677,3.737129128487498,4.683793522271217,6.165210313265196,7.643970807636432,6.661883443465962,6.1652620925114086,5.988477306657238,5.918270189672387,2.966873988391225,1.0,25.79508102913596,23.109497149358567,22.439381441557153,22.218874649898453,23.042828379616484
15,113.76237721180448,-21.331114778186507,1.4802,40.7227,17689.1653,11.9902,134.5103,-75.5884,3.1933,-116.0898,1.804,0.3154,-1.945,1,0.0739,1.96E-4,10.0792,0.7064194574140605,0.7059698533342019,-0.11032648657957934,3.788066966420171,4.501226360491254,5.04592301562585,6.162981384348091,5.384486195871476,5.072427827149234,4.980719040318816,4.969651048549805,3.026102747982297,1.0,22.128653845394307,21.631342507067256,21.32578656002583,21.29560442343269,21.14131215204687
