#id_star,coord1,coord2,ra,dec,star_distance,age,U,V,W,rV,pmra,pmdec,met,component,ebv,Z,log_age,M_ini,M_act,log_L,log_T,log_g,m_bol,mag_u,mag_g,mag_r,mag_i,mag_z,int_IMF,stage,mag_u_corr,mag_g_corr,mag_r_corr,mag_i_corr,mag_z_corr
1,113.67693965166781,-22.186807050879512,1.5891,39.8673,20045.2674,10.0052,148.2102,-83.9749,-12.9778,-121.4224,1.7882,0.1421,-1.7843,1,0.099,2.46E-4,10.0,0.714311578106165,0.7139160696988135,-0.1642503180229156,3.784585683997818,4.546344071270495,5.181117198575908,6.319154392661299,5.52656702376756,5.197426671905604,5.098804917086344,5.084045618564996,3.030415403164238,1.0,23.421698597345824,22.064468906617332,21.89169851920287,21.661045889855366,21.312580914713546
2,113.7992619213486,-22.220115182634814,1.7421,39.8558,20021.5967,9.9525,137.539,-98.4085,6.6704,-137.2562,1.7272,0.2512,-1.8033,1,0.099,2.46E-4,10.0,0.8362625977936715,0.8346906427891831,0.7602386490569021,3.772220992780845,3.640226933124731,2.869380798030421,4.0979129374895775,3.2296452403605627,2.8782904807211254,2.7671131009014065,2.7401163557002794,3.0868794955536387,2.0,20.5538379386094,19.709880250485277,19.42111342324354,19.31321485145027,19.281186543942397
4,113.67778651641017,-22.190463586429317,1.591,39.8639,20358.2307,10.004,147.4983,-83.9885,-8.5643,-122.8335,1.7464,0.179,-1.8352,1,0.099,2.46E-4,10.0,0.7144644070072081,0.714069005781508,-0.16353366712301648,3.784653936464475,4.545992697460668,5.179322411489742,6.31700570389617,5.524570007150557,5.195745638930532,5.097262916913722,5.0825920938121145,3.0304966821197303,1.0,22.606418756592635,22.043010137072013,21.7089778016682,21.46876865258292,21.155709806867502
5,113.66772922421784,-22.127518422860433,1.5636,39.924,19929.8965,9.9896,136.3776,-56.1297,-0.3546,-98.2028,1.531,0.3027,-1.7149,1,0.099,3.1E-4,10.0,0.7389828140918726,0.7385637460033625,-0.05540619596318571,3.7937380304766792,4.488771521059919,4.908109332432967,6.009982235199583,5.2244827286662625,4.934734949266314,4.854610812833001,4.852111306299679,3.0433013752441918,1.0,22.531745299865744,21.65608167548904,21.439249062260867,21.241869655086482,21.530707287344015
6,113.78140484905036,-22.159022451102086,1.7062,39.9127,20066.9785,10.0562,170.6448,-100.7446,-16.622,-142.8417,2.0798,0.1335,-1.7935,1,0.099,2.46E-4,10.0043,0.6955525381061628,0.6952680462372589,-0.245592495584963,3.776106868241118,4.582032863605855,5.383888562125082,6.568681830718561,5.753828293972054,5.389060952326013,5.275862635177644,5.2505781229288075,3.020006322061208,1.0,23.235912036311912,22.31002756713766,22.102117723312737,21.72217116596425,21.657154593703275
7,113.68403000958538,-22.250090218234355,1.613,39.8064,20101.8818,9.947,185.2949,-132.4643,16.2816,-187.3293,2.3025,0.4099,-1.7883,1,0.099,2.46E-4,9.9956,0.6708901457006694,0.6706502885288503,-0.35839290310672794,3.763188818393557,4.627683129398881,5.666266443089649,6.93211308498041,6.070668358554636,5.663539925672282,5.530044079876762,5.491001268915977,3.0054868141236866,1.0,23.124634133463104,22.60368623806121,22.287891888083426,22.12058929467821,22.288008115794888
8,113.69219226555754,-22.24196331986648,1.6206,39.8158,19884.8521,10.1315,159.8505,-86.9527,-10.6237,-129.1306,1.9205,0.1964,-1.7704,1,0.099,2.46E-4,10.0043,0.8367266335109336,0.8349530949679873,0.8891055751150603,3.7450166089660852,3.402449134491277,2.546794693502365,3.941332179321703,2.9966220677020496,2.5576774309223334,2.4041464812424596,2.344498268982554,3.0870630389329956,3.0,20.494741036026472,19.453482247222844,19.037784534340815,18.8633397020303,18.837272778103333
9,113.71223890575702,-22.209399325764956,1.6364,39.8513,19946.399,9.9354,144.7774,-97.591,-23.0661,-127.9058,1.8502,-0.005,-1.7485,1,0.099,3.1E-4,9.9956,0.7827557141572418,0.7820697332207897,0.17862297870136576,3.8115691505714326,4.350812491012943,4.323942553246586,5.3832339771426865,4.589399672727092,4.361296841298535,4.311068281558282,4.32848543376608,3.064228667907106,1.0,22.118502987158667,21.123094012598774,20.758147725325355,20.764273400575885,20.788076235631113
10,113.72253172255242,-22.19459304448181,1.645,39.8676,19955.9227,10.0397,140.3542,-50.2237,-8.2077,-91.7546,1.5516,0.2554,-1.7107,1,0.099,3.1E-4,10.0,0.6644350794171711,0.6641789321208561,-0.39010794084827827,3.758447099127258,4.6363420159902144,5.7455858285015315,7.055947970948831,6.16118346658512,5.737321922978189,5.597155056698066,5.553779906987973,3.0014947645458325,1.0,23.811413552009817,22.6639276159824,22.115000394367883,21.950881657218254,22.431428146992758
11,113.69606622989268,-22.158450886296645,1.6048,39.8985,20093.9964,9.9703,141.0327,-60.5762,5.0234,-105.7598,1.5728,0.3542,-1.8808,1,0.099,1.96E-4,10.0,0.7310483149516529,0.7306617672026562,-0.07616914816554061,3.7936298982924224,4.504390598944623,4.9604228704138515,6.052243254642478,5.283943141634058,4.995662734803749,4.913442576591961,4.908682440981858,3.039237119835336,1.0,23.11801783175653,21.794543778298635,21.529855561536603,21.42290026972367,21.940112084143795
