#id_star,coord1,coord2,ra,dec,star_distance,age,U,V,W,rV,pmra,pmdec,met,component,ebv,Z,log_age,M_ini,M_act,log_L,log_T,log_g,m_bol,mag_u,mag_g,mag_r,mag_i,mag_z,int_IMF,stage,mag_u_corr,mag_g_corr,mag_r_corr,mag_i_corr,mag_z_corr
3,110.59823164446235,-24.128215002045984,358.5826,37.3643,25227.4057,11.9053,181.5116,-112.8694,1.6882,-155.3922,1.7324,0.2944,-1.722,1,0.1167,3.1E-4,10.0755,0.7653368501079918,0.7645182597282819,0.25196506266775376,3.809239419909427,4.25835568882504,4.139957415841938,5.212437705887224,4.406839156113655,4.174957415841938,4.122036255660792,4.137075675570219,3.0561816597057985,1.0,22.490926350817293,21.500250358881114,21.14717566531719,21.107472702755704,21.178199903435303
4,110.58354091668247,-24.1439980625053,358.571,37.3458,25025.6448,11.9886,162.1336,-116.1912,-12.461,-146.1765,1.6417,0.1237,-1.7717,1,0.1167,2.46E-4,10.0792,0.7580490477239926,0.7572290583072289,0.21973978428699129,3.808943054937312,4.285118438832173,4.2207040916923955,5.288132510971387,4.49341776880836,4.260489882052901,4.2056330434949185,4.219990414576431,3.0527080813396643,1.0,22.419562411663932,21.457795094185318,21.303844190440035,21.153088552941487,21.55091691813105
8,110.64084152769902,-24.072144563907802,358.6132,37.4281,24838.2275,11.9306,171.4304,-114.3369,-9.9652,-148.8027,1.712,0.1764,-1.7322,1,0.1167,3.1E-4,10.0755,0.7506918986080626,0.749987387626762,0.1367940333054684,3.8036823199181344,4.342952588854746,4.428234229788705,5.505865986417226,4.712497743045747,4.462356977579199,4.398847968741172,4.4080934643221585,3.049136708766154,1.0,22.268158662499008,21.61582918867045,21.55011438933148,21.246720786634555,21.325942315677448
9,110.59366792659826,-24.11531388334969,358.5736,37.3759,25194.4548,11.9518,142.1118,-98.1149,-11.7945,-124.6341,1.4175,0.1103,-1.7184,1,0.1167,3.1E-4,10.0792,0.7054870311106981,0.705104491181082,-0.13459243300207802,3.7841771052411324,4.509345374404586,5.10618964975421,6.252595556299534,5.449349766781799,5.118109591240415,5.01986380172268,5.0059494742128265,3.0255790414558223,1.0,24.043195883070357,22.361199089723197,21.944067256163052,21.998190784971367,21.43300774696726
11,110.64049074733396,-24.072549492036586,358.6129,37.4276,24667.5471,12.0159,168.8647,-106.0569,-5.249,-142.8248,1.6652,0.2257,-1.5926,1,0.1167,3.9E-4,10.0792,0.7899771934372346,0.788755213209938,0.507655998051652,3.8013532802338017,3.9847119494982657,3.5006100048708704,4.617613870823142,3.7723397377495886,3.523154405065705,3.4600617387237627,3.4677876056502095,3.067473404625388,2.0,21.342811030900037,20.72733445214148,20.504859458902157,20.38051091995479,20.527182588810827
12,110.57994183153315,-24.064854296074916,358.543,37.4218,24630.1605,11.9919,160.9494,-67.2489,-26.9539,-98.1529,1.5052,0.1329,-1.6686,1,0.1167,3.1E-4,10.0792,0.7716950012261742,0.770783491958062,0.3208651072474836,3.8110194343165977,4.199939989268758,3.967366005339649,5.042250911506217,4.2267112868399455,4.002366005339649,3.9521933645895007,3.969135817672785,3.059165209774986,1.0,22.35880094808277,21.118750111322665,21.006693382329374,20.871024324318363,20.79291027145644
14,110.59669023544679,-24.12080813056949,358.5787,37.3712,25021.5014,11.9709,160.8995,-124.7752,-2.3165,-157.3149,1.6455,0.1749,-1.7524,1,0.1167,2.46E-4,10.0792,0.6868680600890824,0.6864804065737647,-0.22145411365047796,3.7766737582316208,4.55470230773666,5.323607875700758,6.505677619349639,5.691033113823453,5.329278974595521,5.217401904981556,5.192853736472827,3.0150199034385814,1.0,22.787855603248133,22.805065499315045,22.212090189463286,21.978615413105945,22.330920612193065
16,110.55564712109415,-24.099762810202726,358.5265,37.3826,25008.6969,12.148,160.5831,-79.1539,10.8935,-123.5711,1.4528,0.3841,-1.7652,1,0.1167,2.46E-4,10.0828,0.6804255863225229,0.6800605155724934,-0.24990905167212948,3.773586072553545,4.566785932578241,5.394836579955996,6.593789921842306,5.770371398572133,5.398324973750618,5.281301761339859,5.253162253583135,3.011222154752335,1.0,24.295585760453314,22.89915456324497,22.249318777044603,21.935780557934866,21.93440034024317
17,110.57951569302708,-24.07459855510971,358.5455,37.4123,24938.1551,11.9659,177.2788,-92.7292,5.7768,-138.5113,1.6397,0.3652,-1.6823,1,0.1167,3.1E-4,10.0792,0.6743309223174303,0.674040028696456,-0.2909170048408544,3.7684971578886195,4.583563940693991,5.496919655642528,6.73510241166454,5.8837824690574525,5.493445378127229,5.369513971419767,5.336565416389171,3.007567188647828,1.0,23.351595419482305,22.851003977955006,22.439483308373987,22.590920134634718,23.014605830094858
19,110.60616005677691,-24.094684793584335,358.5813,37.3986,25021.9574,11.8748,178.0617,-118.5658,-0.7845,-158.1978,1.7465,0.2542,-1.7143,1,0.1167,3.1E-4,10.0755,0.7565941407534108,0.7558466254376643,0.1807730035013148,3.806064086706794,4.312022191651916,4.318067491246713,5.392776221881277,4.595756779102254,4.353067491246713,4.293795664660301,4.305232568708454,3.05200792568157,1.0,22.286382277922336,21.670065725044413,21.52511003553119,21.38679614551815,21.208716917742574
